kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
306,15.3,0.0,0,0.0,0.8465,0.0,2.0,306,0.9985,1.0,0.998,0.153,-0.0008,0.0,-1.997,-1.8448
